,FileName,Condition,Length sek,Frames,Static,Dynamic,Indoor,Outdoor,Boundary,Constrained,Uneven,Road,Crowd,Slope,Single,photo_path,Frame_nr,original_index
0,1_night_constrained_00000.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,0,0
1,1_night_constrained_00005.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,5,0
2,1_night_constrained_00010.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,10,0
3,1_night_constrained_00015.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,15,0
4,1_night_constrained_00020.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,20,0
5,1_night_constrained_00025.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,25,0
6,1_night_constrained_00030.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,30,0
7,1_night_constrained_00035.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,35,0
8,1_night_constrained_00040.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,40,0
9,1_night_constrained_00045.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,45,0
10,1_night_constrained_00050.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,50,0
11,1_night_constrained_00055.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,55,0
12,1_night_constrained_00060.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,60,0
13,1_night_constrained_00065.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,65,0
14,1_night_constrained_00070.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,70,0
15,1_night_constrained_00075.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,75,0
16,1_night_constrained_00080.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,80,0
17,1_night_constrained_00085.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,85,0
18,1_night_constrained_00090.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,90,0
19,1_night_constrained_00095.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,95,0
20,1_night_constrained_00100.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,100,0
21,1_night_constrained_00105.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,105,0
22,1_night_constrained_00110.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,110,0
23,1_night_constrained_00115.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,115,0
24,1_night_constrained_00120.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,120,0
25,1_night_constrained_00125.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,125,0
26,1_night_constrained_00130.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,130,0
27,1_night_constrained_00135.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,135,0
28,1_night_constrained_00140.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,140,0
29,1_night_constrained_00145.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,145,0
30,1_night_constrained_00150.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,150,0
31,1_night_constrained_00155.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,155,0
32,1_night_constrained_00160.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,160,0
33,1_night_constrained_00165.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,165,0
34,1_night_constrained_00170.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,170,0
35,1_night_constrained_00175.png,Night,52.648,1578,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,/content/drive/MyDrive/Camera_copy,175,0
